Experience,Salary
0,30000
0,35000
0,28000
0,28000
0,28000
0,28000
0,28000
0,55538
0,55538
0,52612
0,52612
0,52612
0,52612
0,52779
0,52779
0,52779
0,52779
1,90000
1,90000
1,92000
1,95000
1,40000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,92000
1,95000
1,95000
1,95000
1,35000
1,35000
1,35000
1,50000
1,50000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,45000
1,55000
1,55000
1,55000
1,55000
1,55000
1,60000
1,60000
1,60000
1,60000
1,60000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,40000
1,40000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55935
1,55935
1,55935
1,55935
1,60000
1,60000
1,60000
1,60000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,45000
1,50000
1,50000
1,50000
1,52000
1,52000
1,52000
1,52000
1,52000
1,52000
1,52000
1,52000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,45000
1,50000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,30000
1,50000
1,25000
1,25000
