Age,Salary
22,50000
22,50000
22,25000
23,90000
23,90000
23,92000
23,95000
23,35000
23,35000
23,35000
23,35000
23,35000
23,35000
23,35000
23,35000
23,35000
23,35000
23,35000
23,35000
23,35000
23,35000
23,35000
23,45000
23,55000
23,55000
23,55000
23,55000
23,55000
23,60000
23,60000
23,60000
23,60000
23,60000
23,25000
23,26000
23,26000
23,26000
23,26000
23,26000
23,26000
23,26000
23,26000
23,30000
23,35000
23,47898
23,52612
23,52612
23,52612
23,52612
23,52779
23,52779
23,52779
23,52779
23,579
23,119836
23,119836
24,40000
24,90000
24,90000
24,90000
24,90000
24,90000
24,90000
24,90000
24,90000
24,90000
24,90000
24,90000
24,90000
24,90000
24,90000
24,90000
24,90000
24,90000
24,90000
24,90000
24,90000
24,90000
24,90000
24,90000
24,90000
24,90000
24,90000
24,90000
24,90000
24,90000
24,90000
24,90000
24,90000
24,92000
24,95000
24,95000
24,95000
24,95000
24,95000
24,95000
24,95000
24,95000
24,95000
24,95000
24,95000
24,95000
24,95000
24,95000
24,95000
24,100000
24,35000
24,35000
24,35000
24,35000
24,35000
24,35000
24,35000
24,35000
24,40000
24,40000
24,55000
24,55000
24,55000
24,55000
24,55000
24,55000
24,55000
24,55000
24,55000
24,55000
24,55935
24,55935
24,55935
24,55935
24,60000
24,60000
24,60000
24,60000
24,55000
24,63901
24,64182
24,64182
24,64182
24,28000
24,28000
24,28000
24,28000
24,28000
24,25000
24,25000
24,25000
24,25000
24,25000
24,25000
24,25000
24,25000
24,26000
24,30000
24,35000
24,55538
24,55538
24,30000
24,106132
24,106686
24,106686
24,106686
25,30000
25,35000
25,100000
25,100000
25,110000
25,110000
25,110000
25,110000
25,110000
25,110000
25,110000
25,115000
25,115000
25,115000
25,125000
25,135000
25,55000
25,55000
25,55000
25,55000
25,55000
25,55000
25,55000
25,55000
25,55000
25,55000
25,55000
25,55000
25,55000
25,55000
25,55000
25,55000
25,55000
25,55000
25,55000
25,55000
25,55000
25,55000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,60000
25,50000
25,50000
25,90249
25,90249
25,26000
25,30000
25,30000
25,30000
25,30000
25,30000
25,30000
25,30000
25,30000
25,30000
25,30000
25,30000
25,30000
25,35000
25,35000
25,30000
25,40000
25,40000
25,45000
25,45000
25,60000
25,50000
25,169159
25,169159
26,35000
26,35000
26,35000
26,40000
26,110000
26,110000
26,110000
26,110000
26,110000
26,120000
26,120000
26,120000
26,120000
26,120000
26,120000
26,120000
26,120000
26,120000
26,120000
26,120000
26,120000
26,120000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,130000
26,135000
26,135000
26,45000
26,50000
26,50000
26,50000
26,52000
26,52000
26,52000
26,52000
26,52000
26,52000
26,52000
26,52000
26,55000
26,55000
26,55000
26,55000
26,55000
26,55000
26,55000
26,55000
26,38000
26,38000
26,50000
26,50000
26,50000
26,50000
26,50000
26,50000
26,50000
26,50000
26,50000
26,50000
26,50000
26,50000
26,50000
26,50000
26,50000
26,50000
26,50000
26,50000
26,50000
26,50000
26,50000
26,50000
26,50000
26,50000
26,50000
26,55000
26,55000
26,55000
26,55000
26,55000
26,55000
26,55000
26,55000
26,55000
26,55000
26,55000
26,55000
26,55000
26,55000
26,55000
26,55000
26,55000
26,55000
26,55000
26,55000
26,55000
26,55000
26,60000
26,60000
26,60000
26,60000
26,60000
26,60000
26,60000
26,60000
26,60000
26,60000
26,60000
26,60000
26,60000
26,60000
26,60000
26,60000
26,60000
26,60000
26,60000
26,60000
26,60000
26,60000
26,60000
26,60000
26,60000
26,60000
26,60000
26,60000
26,60000
26,63789
26,65000
26,65000
26,65000
26,70000
26,70000
26,70000
26,60000
26,60000
26,60000
26,60000
26,60000
26,60000
26,60000
26,60000
26,67556
26,75072
26,75072
26,79652
26,85000
26,85000
26,85000
26,85000
26,85000
26,85000
26,85000
26,85000
26,85000
26,85000
26,85000
26,85000
26,85000
26,85000
26,85000
26,85000
26,85000
26,85000
26,85000
26,26000
26,26000
26,26000
26,26000
26,26000
26,26000
26,26000
26,26000
26,30000
26,30000
26,30000
26,30000
26,30000
26,30000
26,30000
26,31000
26,31000
26,31000
26,31000
26,31000
26,31000
26,31000
26,31000
26,31000
26,31000
26,31000
26,31000
26,35000
26,40000
26,40000
26,40000
26,40000
26,40000
26,40000
26,40000
26,40000
26,40000
26,40000
26,40000
26,40000
26,40000
26,40000
26,45000
26,120000
26,48000
26,48000
26,45000
26,50000
26,68472
26,70216
26,70216
26,70216
26,70216
26,73640
26,73640
26,73640
26,88678
26,91397
26,75656
26,85825
26,89843
26,90944
26,91062
26,91062
26,91062
26,91397
26,91397
26,102859
26,102859
27,35000
27,35000
27,40000
27,40000
27,45000
27,45000
27,110000
27,110000
27,110000
27,110000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,140000
27,160000
27,160000
27,160000
27,160000
27,160000
27,160000
27,160000
27,160000
27,160000
27,160000
27,160000
27,160000
27,160000
27,160000
27,150000
27,150000
27,150000
27,150000
27,150000
27,45000
27,50000
27,55000
27,55000
27,55000
27,55000
27,55000
27,55000
27,55000
27,55000
27,50000
27,50000
27,50000
